ОСЦ;Архив;Индекс операции;Название операции;Тип ШК;КБП;вид/ площадка операции;Единица измерения;Норматив в секундах;Тип операции
ОСЦ Новосибирск;Вне подразделений;SZ 031 000 00 00;Обработка запросов в ЕСО (выемка оригиналов документов УБ| перерегистрация досье/досыл| 2-я линия СПАС);-;00;Запросы;обращение;433;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;SZ 031 000 00 00;Обработка запросов в ЕСО (выемка оригиналов документов УБ| перерегистрация досье/досыл| 2-я линия СПАС);-;00;Запросы;обращение;433;RUCH
ОСЦ Самара;Вне подразделений;SZ 031 000 00 00;Обработка запросов в ЕСО (выемка оригиналов документов УБ| перерегистрация досье/досыл| 2-я линия СПАС);-;00;Запросы;обращение;433;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;SZ 031 000 00 00;Обработка запросов в ЕСО (выемка оригиналов документов УБ| перерегистрация досье/досыл| 2-я линия СПАС);-;00;Запросы;обращение;433;RUCH
ОСЦ Самара;Архив №1 Самара;SZ 031 000 00 00;Обработка запросов в ЕСО (выемка оригиналов документов УБ| перерегистрация досье/досыл| 2-я линия СПАС);-;00;Запросы;обращение;433;RUCH
ОСЦ Воронеж;Вне подразделений;SZ 039 000 00 00;Подготовка ТЕ для отправки заказчику (оформление сопроводительных документов| упаковка в конверт)| в том числе вызов курьера;-;00;Запросы;единица отправки;160;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;SZ 039 000 00 00;Подготовка ТЕ для отправки заказчику (оформление сопроводительных документов| упаковка в конверт)| в том числе вызов курьера;-;00;Запросы;единица отправки;119,633;RUCH
ОСЦ Воронеж;Архив №3 Калининград;SZ 039 000 00 00;Подготовка ТЕ для отправки заказчику (оформление сопроводительных документов| упаковка в конверт)| в том числе вызов курьера;-;00;Запросы;единица отправки;148,967;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;SZ 039 000 00 00;Подготовка ТЕ для отправки заказчику (оформление сопроводительных документов| упаковка в конверт)| в том числе вызов курьера;-;00;Запросы;единица отправки;0;RUCH
ОСЦ Москва;Вне подразделений;SZ 039 000 00 00;Подготовка ТЕ для отправки заказчику (оформление сопроводительных документов| упаковка в конверт)| в том числе вызов курьера;-;00;Запросы;единица отправки;160;RUCH
ОСЦ Москва;Архив №1 Томилино;SZ 039 000 00 00;Подготовка ТЕ для отправки заказчику (оформление сопроводительных документов| упаковка в конверт)| в том числе вызов курьера;-;00;Запросы;единица отправки;118,433;RUCH
ОСЦ Нижний Новгород;Вне подразделений;SZ 039 000 00 00;Подготовка ТЕ для отправки заказчику (оформление сопроводительных документов| упаковка в конверт)| в том числе вызов курьера;-;00;Запросы;единица отправки;160;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;SZ 039 000 00 00;Подготовка ТЕ для отправки заказчику (оформление сопроводительных документов| упаковка в конверт)| в том числе вызов курьера;-;00;Запросы;единица отправки;115,359;RUCH
ОСЦ Новосибирск;Вне подразделений;SZ 039 000 00 00;Подготовка ТЕ для отправки заказчику (оформление сопроводительных документов| упаковка в конверт)| в том числе вызов курьера;-;00;Запросы;единица отправки;160;RUCH
ОСЦ Новосибирск;Архив №1 Новосибирск;SZ 039 000 00 00;Подготовка ТЕ для отправки заказчику (оформление сопроводительных документов| упаковка в конверт)| в том числе вызов курьера;-;00;Запросы;единица отправки;120,367;RUCH
ОСЦ Самара;Вне подразделений;SZ 039 000 00 00;Подготовка ТЕ для отправки заказчику (оформление сопроводительных документов| упаковка в конверт)| в том числе вызов курьера;-;00;Запросы;единица отправки;160;RUCH
